name,brand,category,subcategory,drink_family,description,image_url,product_url,price_range,availability_regions,sweetness_score,bitterness_score,acidity_score,body_score,complexity_score,carbonation_score,intensity_score,flavor_tags,occasion_tags,food_pairing_tags,is_active
Spritz,Ghia,Sparkling,Spritz,Spritz,"Warming spicy non-alcoholic spritz with ginger, yuzu, and chili pepper extract. Fiery finish with complex botanical depth.",,https://drinkghia.com/products/ghia-ginger,,"{""Wide (US)""}",3,5,9,5,9,9,7,"{""Ginger"",""Yuzu"",""Chili"",""Herbal"",""Spice""}","{""Evening"",""Cool Weather""}","{""Spicy Noodles"",""Ginger Desserts"",""Dumplings""}",true
Spritz,Ghia,Sparkling,Spritz,Spritz,Earthy tangy non-alcoholic spritz with sumac and chili. For those who like it hot with bright acidity and warming spice.,,https://drinkghia.com/products/sumac-and-chili,,"{""Wide (US)""}",3,5,9,3,9,9,6,"{""Sumac"",""Chili"",""Citrus"",""Herbal""}","{""Happy Hour"",""Adventurous Palates""}","{""Middle Eastern Food"",""Grilled Meats"",""Spicy Snacks""}",true
Spritz,De Soi,Sparkling,Spritz,Spritz,Italian-inspired non-alcoholic aperitivo spritz with bitter orange and adaptogens. Lightly sparkling with L-theanine and lion's mane.,,https://drinkdesoi.com/products/spritz-italiano,,"{""Wide (US)""}",5,5,9,3,5,9,6,"{""Bitter Orange"",""Citrus"",""Herbal"",""Floral""}","{""Aperitivo Hour"",""Happy Hour""}","{""Antipasto"",""Bruschetta"",""Light Pasta""}",true
Aperitivo,De Soi,Aperitif,Aperitivo,Aperitif,Deep fruity non-alcoholic aperitif with dark berry notes and rose. Infused with adaptogens for relaxation without alcohol.,,https://drinkdesoi.com/products/purple-lune,,"{""Wide (US)""}",5,3,5,5,5,2,4,"{""Dark Berries"",""Rose"",""Elderberry"",""Vanilla""}","{""Evening"",""Relaxation"",""Dinner Party""}","{""Chocolate Desserts"",""Cheese Plate"",""Berries""}",true
Aperitivo,De Soi,Aperitif,Aperitivo,Aperitif,Rosé-inspired non-alcoholic aperitif with sparkling raspberry and floral notes. Light body with adaptogenic benefits.,,https://drinkdesoi.com/products/tres-rose,,"{""Wide (US)""}",5,3,9,3,5,2,4,"{""Raspberry"",""Rose"",""Floral"",""Berry""}","{""Brunch"",""Afternoon"",""Celebrations""}","{""Charcuterie"",""Fruit"",""Light Salads""}",true
Margarita,De Soi,RTD Mocktail,Margarita,Margarita,"Spicy non-alcoholic margarita with lime, jalapeño, and agave. Infused with adaptogens for a mindful happy hour experience.",,https://drinkdesoi.com/products/haute-margarita,,"{""Wide (US)""}",5,3,9,3,5,6,5,"{""Lime"",""Jalapeño"",""Agave"",""Sea Salt""}","{""Happy Hour"",""Taco Night""}","{""Tacos"",""Guacamole"",""Spicy Mexican Food""}",true
Functional Beverage,De Soi,Functional Drink,Functional Beverage,Adaptogenic,"Warming non-alcoholic golden milk-style drink with turmeric, ginger, and adaptogens. Caffeine-free with a soothing profile.",,https://drinkdesoi.com/products/golden-hour,,"{""Wide (US)""}",5,3,3,5,5,5,4,"{""Turmeric"",""Ginger"",""Cinnamon"",""Vanilla"",""Honey""}","{""Evening"",""Wind Down"",""Cold Weather""}","{""Tea Cakes"",""Light Desserts"",""Almond Cookies""}",true
Canned Cocktail,De Soi,RTD Mocktail,Canned Cocktail,Canned Cocktail,"Limited winter release mule with pomegranate, cranberry, ginger, rosemary and adaptogens. Cozy apres-ski flavors.",,https://drinkdesoi.com/collections/all-beverages,,"{""Limited""}",5,3,5,5,5,6,5,"{""Pomegranate"",""Cranberry"",""Ginger"",""Rosemary"",""Herbal""}","{""Winter"",""Holidays"",""Après-Ski""}","{""Roasted Meats"",""Winter Vegetables"",""Spiced Desserts""}",true
Functional Beverage,Kin Euphorics,Functional Drink,Functional Beverage,Adaptogenic,"Adaptogenic non-alcoholic social spirit with Rhodiola Rosea, 5-HTP, and GABA. Herbaceous blend of hibiscus and orange bitters.",,https://www.kineuphorics.com/products/high-rhode,,"{""Wide (US)""}",3,5,5,5,9,5,5,"{""Hibiscus"",""Orange Bitters"",""Licorice"",""Sea Salt"",""Herbal""}","{""Social Hour"",""Happy Hour"",""Parties""}","{""Cheese Board"",""Bruschetta"",""Citrus Desserts""}",true
Functional Beverage,Kin Euphorics,Functional Drink,Functional Beverage,Adaptogenic,"Mood-boosting non-alcoholic sparkling beverage with ginger, tart citrus, and adaptogens. Uplifting and invigorating with no alcohol.",,https://www.kineuphorics.com/products/kin-spritz,,"{""Wide (US)""}",5,3,9,3,5,5,5,"{""Ginger"",""Citrus"",""Hibiscus"",""Orange Bitters"",""Herbal""}","{""Afternoon"",""Socializing"",""Work""}","{""Light Appetizers"",""Fruit"",""Salad""}",true
Functional Beverage,Kin Euphorics,Functional Drink,Functional Beverage,Adaptogenic,Heart-opening non-alcoholic functional drink with floral botanicals and adaptogens. Lightly sweet with a joyful bright profile.,,https://www.kineuphorics.com/products/kin-bloom,,"{""Wide (US)""}",5,3,5,3,5,5,4,"{""Floral"",""Citrus"",""Herbal"",""Honey"",""Botanicals""}","{""Brunch"",""Daytime"",""Celebrations""}","{""Pastries"",""Fruit Tarts"",""Light Cheese""}",true
Functional Beverage,Kin Euphorics,Functional Drink,Functional Beverage,Adaptogenic,Meditative non-alcoholic sparkling blend of lavender-vanilla and smoked sea salt. Reishi mushroom for calm relaxation.,,https://www.kineuphorics.com/,,"{""Wide (US)""}",5,3,3,5,5,5,4,"{""Lavender"",""Vanilla"",""Smoked Sea Salt"",""Passionflower""}","{""Evening"",""Wind Down"",""Yoga""}","{""Chamomile Tea"",""Light Snacks"",""Dark Chocolate""}",true
Negroni,Curious Elixirs,RTD Mocktail,Canned Cocktail,Negroni,Bold booze-free pomegranate negroni with layered herbaceous bitterness. Adaptogens like gentian and rhodiola for unwinding.,,https://curiouselixirs.com/products/curious-no-1-cocktails,,"{""Wide (US)""}",5,9,5,5,10,6,7,"{""Pomegranate"",""Juniper"",""Herbal"",""Bitter"",""Citrus""}","{""Aperitivo Hour"",""After Work""}","{""Aged Cheese"",""Dark Chocolate"",""Grilled Meats""}",true
Margarita,Curious Elixirs,RTD Mocktail,Canned Cocktail,Margarita,Spicy pineapple ginger margarita fusion with ancho chili and jalapeño. Damiana herb helps you unwind while flavors dance.,,https://curiouselixirs.com/products/curious-no-2-cocktails,,"{""Wide (US)""}",5,3,9,5,9,6,6,"{""Pineapple"",""Ginger"",""Lime"",""Ancho Chili"",""Spicy""}","{""Happy Hour"",""Taco Night"",""Spicy Food Lovers""}","{""Tacos"",""Guacamole"",""Spicy Asian Food""}",true
Canned Cocktail,Curious Elixirs,RTD Mocktail,Canned Cocktail,Canned Cocktail,"Botanical cucumber collins with juniper, lavender, and lemon verbena. Lightly sparkling with crisp refreshing finish.",,https://curiouselixirs.com/products/curious-no-3-cocktails,,"{""Wide (US)""}",3,3,5,3,5,6,4,"{""Cucumber"",""Lavender"",""Juniper"",""Lemon Verbena"",""Floral""}","{""Afternoon"",""Garden Party"",""Brunch""}","{""Light Salads"",""Tea Sandwiches"",""Goat Cheese""}",true
Spritz,Curious Elixirs,Sparkling,Spritz,Spritz,Blood orange turmeric spritz with bright citrus and earthy warmth. Sicilian-inspired with adaptogens for stress relief.,,https://curiouselixirs.com/products/curious-no-4-cocktails,,"{""Wide (US)""}",5,3,9,5,5,9,6,"{""Blood Orange"",""Turmeric"",""Citrus"",""Ginger"",""Spice""}","{""Aperitivo Hour"",""Brunch""}","{""Hummus"",""Grilled Vegetables"",""Citrus Desserts""}",true
Canned Cocktail,Curious Elixirs,RTD Mocktail,Canned Cocktail,Canned Cocktail,Smoked chocolate cherry old fashioned with rich molasses and cocoa. Complex booze-free sipper with cherry warmth.,,https://curiouselixirs.com/products/curious-no-5-cocktails,,"{""Wide (US)""}",9,3,3,8,10,6,7,"{""Cherry"",""Chocolate"",""Molasses"",""Smoke"",""Vanilla""}","{""After Dinner"",""Nightcap"",""Dessert""}","{""Dark Chocolate"",""Cherry Pie"",""Roasted Nuts""}",true
Canned Cocktail,Curious Elixirs,RTD Mocktail,Canned Cocktail,Canned Cocktail,Tropical spiced coconut pineapple cocktail with island vibes. Creamy coconut meets tangy pineapple with adaptogens.,,https://curiouselixirs.com/products/curious-no-6-cocktails,,"{""Wide (US)""}",9,3,5,5,5,6,5,"{""Coconut"",""Pineapple"",""Spice"",""Tropical"",""Creamy""}","{""Summer"",""Beach"",""Tropical Theme""}","{""Thai Food"",""Grilled Shrimp"",""Coconut Desserts""}",true
Canned Cocktail,Curious Elixirs,RTD Mocktail,Canned Cocktail,Canned Cocktail,"Sparkling blanc de blancs style non-alcoholic wine cocktail with green apple and pear. Crisp, dry, and celebratory.",,https://curiouselixirs.com/products/curious-no-7-cocktails,,"{""Wide (US)""}",5,3,9,3,5,6,5,"{""Green Apple"",""Pear"",""White Grape"",""Citrus"",""Dry""}","{""Celebration"",""Brunch"",""Wedding""}","{""Oysters"",""Light Appetizers"",""Soft Cheese""}",true
Canned Cocktail,Curious Elixirs,RTD Mocktail,Canned Cocktail,Canned Cocktail,"Black and blue amaro digestif with dark berries, herbs, and mushroom extracts. Complex bitter-sweet finish for after dinner.",,https://curiouselixirs.com/products/curious-no-8-cocktails,,"{""Wide (US)""}",5,9,5,5,10,6,7,"{""Blackberry"",""Blueberry"",""Herbal"",""Mushroom"",""Bitter""}","{""After Dinner"",""Digestivo"",""Nightcap""}","{""Dark Chocolate"",""Aged Cheese"",""Nuts""}",true
Functional Beverage,Hiyo,Functional Drink,Functional Beverage,Adaptogenic,Organic adaptogenic seltzer with ashwagandha and L-theanine. Bold blackberry and lemon with 30 calories per can.,,https://drinkhiyo.com/collections/all,,"{""Wide (US)""}",5,3,9,3,3,5,5,"{""Blackberry"",""Lemon"",""Berry"",""Citrus""}","{""Afternoon"",""Socializing"",""Work""}","{""Light Snacks"",""Fruit"",""Nuts""}",true
Functional Beverage,Hiyo,Functional Drink,Functional Beverage,Adaptogenic,Tart and tempting functional seltzer with passion fruit and tangerine. Bright citrus with mood-boosting botanical blend.,,https://drinkhiyo.com/products/passion-fruit-tangerine,,"{""Wide (US)""}",5,3,9,3,3,5,5,"{""Passion Fruit"",""Tangerine"",""Citrus"",""Tropical""}","{""Afternoon"",""Morning"",""Energy""}","{""Fresh Fruit"",""Yogurt"",""Granola""}",true
Functional Beverage,Hiyo,Functional Drink,Functional Beverage,Adaptogenic,"Bright uplifting functional seltzer with pineapple and coconut. Tropical escape with 1,700mg functional ingredients per can.",,https://drinkhiyo.com/products/pineapple-coconut,,"{""Wide (US)""}",5,3,3,3,3,5,4,"{""Pineapple"",""Coconut"",""Tropical"",""Creamy""}","{""Summer"",""Beach"",""Vacation""}","{""Thai Food"",""Grilled Fish"",""Coconut Desserts""}",true
Functional Beverage,HOP WTR,Functional Drink,Functional Beverage,Adaptogenic,Crisp sparkling hop water with Citra and Amarillo hops. Zero calories with adaptogens and nootropics for balanced energy.,,https://hopwtr.com/products/classic-non-alcoholic-sparkling-hop-water-12-pack,,"{""Wide (US)""}",5,5,3,3,5,5,4,"{""Hops"",""Citrus"",""Pine"",""Floral"",""Bitter""}","{""After Work"",""Socializing"",""Anytime""}","{""Nuts"",""Charcuterie"",""Grilled Meats""}",true
Functional Beverage,HOP WTR,Functional Drink,Functional Beverage,Adaptogenic,Zesty blood orange hop water with bright citrus and hop bitterness. Zero sugar with vitamin C and adaptogens.,,https://hopwtr.com/products/blood-orange-non-alcoholic-sparkling-hop-water-12-pack,,"{""Wide (US)""}",5,5,9,3,5,5,5,"{""Blood Orange"",""Hops"",""Citrus"",""Bitter""}","{""Summer"",""Afternoon"",""Happy Hour""}","{""Grilled Fish"",""Citrus Salad"",""Light Fare""}",true
Functional Beverage,HOP WTR,Functional Drink,Functional Beverage,Adaptogenic,Juicy mango hop water with tropical sweetness balanced by hop bitterness. Zero calories with functional nootropic blend.,,https://hopwtr.com/,,"{""Wide (US)""}",5,3,5,3,5,5,4,"{""Mango"",""Hops"",""Tropical"",""Citrus""}","{""Summer"",""Beach"",""Taco Night""}","{""Tacos"",""Thai Food"",""Tropical Fruit""}",true
Margarita,Recess,RTD Mocktail,Canned Cocktail,Margarita,Craft lime margarita mocktail with real agave and sea salt. Infused with guayusa and adaptogens for balanced energy.,,https://takearecess.com/shop/zero-proof/lime-margarita,,"{""Wide (US)""}",5,3,9,3,5,6,5,"{""Lime"",""Agave"",""Sea Salt"",""Citrus"",""Herbal""}","{""Happy Hour"",""Taco Night"",""Party""}","{""Tacos"",""Guacamole"",""Mexican Food""}",true
Canned Cocktail,Recess,RTD Mocktail,Canned Cocktail,Canned Cocktail,Grapefruit paloma mocktail made with red Rio grapefruit juice. Uplifting guayusa and adaptogens with low calories.,,https://takearecess.com/shop/zero-proof/grapefruit-paloma,,"{""Wide (US)""}",5,3,9,3,5,6,5,"{""Grapefruit"",""Citrus"",""Agave"",""Herbal"",""Floral""}","{""Brunch"",""Afternoon"",""Summer""}","{""Ceviche"",""Salads"",""Grilled Fish""}",true
Canned Cocktail,Recess,RTD Mocktail,Canned Cocktail,Canned Cocktail,Watermelon mojito mocktail with fresh mint and lime. Lightly sparkling with adaptogens for a balanced lift.,,https://takearecess.com/shop/zero-proof,,"{""Wide (US)""}",5,3,9,3,5,6,5,"{""Watermelon"",""Mint"",""Lime"",""Fresh"",""Herbal""}","{""Summer"",""Poolside"",""BBQ""}","{""Grilled Meats"",""Fruit Salad"",""Light Fare""}",true
Botanical Soda,Casamara Club,Mixer,Botanical Soda,Botanical Soda,Italian chinotto-inspired botanical soda with subtle negroni flavors. Extra dry finish with complex citrus and herbal notes.,,https://www.casamaraclub.com/collections/all,,"{""Wide (US)""}",3,9,9,3,5,7,6,"{""Chinotto"",""Citrus"",""Herbal"",""Bitter"",""Spice""}","{""Aperitivo Hour"",""Dinner""}","{""Pasta"",""Pizza"",""Antipasto""}",true
Negroni,Casamara Club,RTD Mocktail,Canned Cocktail,Negroni,"Non-alcoholic aperitivo cocktail mashing up negroni and bitter orange soda. More refreshing than a negroni, more complex than a spritz.",,https://www.casamaraclub.com/collections/all,,"{""Wide (US)""}",3,9,9,5,9,6,7,"{""Chinotto"",""Bitter Orange"",""Herbal"",""Spice"",""Citrus""}","{""Aperitivo Hour"",""Happy Hour"",""Dinner""}","{""Charcuterie"",""Aged Cheese"",""Grilled Vegetables""}",true
Mojito,Naked Life,RTD Mocktail,RTD Mocktail,Mojito,Fresh mint and lime non-alcoholic mojito with zero sugar. Steam-distilled botanicals for true cocktail taste at only 5 calories.,,https://drinknakedlife.com/products/mojito,,"{""Wide (US)""}",3,3,9,3,5,6,5,"{""Mint"",""Lime"",""Citrus"",""Herbal"",""Rum Notes""}","{""Summer"",""Poolside"",""Party""}","{""Grilled Fish"",""Fresh Salads"",""Fruit""}",true
Negroni,Naked Life,RTD Mocktail,RTD Mocktail,Negroni,Bitter fizzy non-alcoholic negroni spritz with cherry and orange. Chinchona and bitter orange for authentic complexity.,,https://drinknakedlife.com/products/negroni-spritz,,"{""Wide (US)""}",3,9,5,5,5,6,5,"{""Cherry"",""Amaro"",""Orange"",""Bitter"",""Herbal""}","{""Aperitivo Hour"",""Happy Hour""}","{""Cheese Plate"",""Olives"",""Antipasto""}",true
Margarita,Naked Life,RTD Mocktail,RTD Mocktail,Margarita,Tart salty non-alcoholic margarita with lime and sea salt. Zero sugar with steam-distilled botanical blend.,,https://drinknakedlife.com/products/margarita,,"{""Wide (US)""}",3,3,9,3,5,6,5,"{""Lime"",""Salt"",""Citrus"",""Agave"",""Herbal""}","{""Taco Night"",""Happy Hour"",""Party""}","{""Tacos"",""Guacamole"",""Mexican Food""}",true
RTD Mocktail,Naked Life,RTD Mocktail,RTD Mocktail,RTD Mocktail,"Classic non-alcoholic G&T with lemon, bitter orange, and juniper. Crisp and refreshing with zero sugar and 5 calories.",,https://drinknakedlife.com/products/classic-gt,,"{""Wide (US)""}",3,3,9,3,5,6,5,"{""Lemon"",""Juniper"",""Bitter Orange"",""Herbal"",""Citrus""}","{""Afternoon"",""Summer"",""Anytime""}","{""Light Appetizers"",""Seafood"",""Salads""}",true
RTD Mocktail,Naked Life,RTD Mocktail,RTD Mocktail,RTD Mocktail,Cranberry and lime non-alcoholic cosmo with subtle orange notes. Tart sweet balance with zero sugar and low calories.,,https://drinknakedlife.com/products/cosmo,,"{""Wide (US)""}",3,3,9,3,5,6,5,"{""Cranberry"",""Lime"",""Orange"",""Citrus"",""Tart""}","{""Girls Night"",""Party"",""Celebration""}","{""Cheese Plate"",""Light Desserts"",""Fruit""}",true
Spritz,Naked Life,Sparkling,Spritz,Spritz,Italian spritz non-alcoholic cocktail with bitter aperitivo flavors. Vibrant and complex with zero sugar and distilled botanicals.,,https://drinknakedlife.com/products/italian-spritz,,"{""Wide (US)""}",3,5,9,3,5,9,6,"{""Bitter Orange"",""Herbal"",""Citrus"",""Floral"",""Spice""}","{""Aperitivo Hour"",""Brunch"",""Dinner Party""}","{""Antipasto"",""Bruschetta"",""Light Pasta""}",true
Margarita,PARCH,RTD Mocktail,Margarita,Margarita,"Non-alcoholic prickly paloma with grapefruit, hibiscus, and desert botanicals. Blue weber agave base with adaptogens for stress relief.",,https://drinkparch.com/collections/parch-drinks,,"{""Wide (US)""}",5,3,9,3,5,6,5,"{""Grapefruit"",""Hibiscus"",""Agave"",""Citrus"",""Floral""}","{""Sundowner"",""Happy Hour"",""Taco Night""}","{""Tacos"",""Ceviche"",""Grilled Fish""}",true
Margarita,PARCH,RTD Mocktail,Margarita,Margarita,Spiced non-alcoholic piñarita with roasted pineapple and cayenne. Smoky spicy margarita riff with organic agave and adaptogens.,,https://drinkparch.com/collections/parch-drinks/products/spiced-pinarita,,"{""Wide (US)""}",5,3,5,5,5,6,5,"{""Pineapple"",""Cayenne"",""Agave"",""Smoke"",""Spice""}","{""Taco Night"",""Spicy Food Fans""}","{""Tacos"",""Spicy Mexican Food"",""Grilled Meats""}",true
Functional Beverage,PARCH,Functional Drink,Functional Beverage,Adaptogenic,Limited edition sunrise supertonic elixir with adaptogens and desert botanicals. Bright uplifting functional blend for daytime.,,https://drinkparch.com/collections/parch-drinks,,"{""Limited""}",5,3,5,3,5,5,4,"{""Citrus"",""Tropical"",""Herbal"",""Adaptogens"",""Bright""}","{""Morning"",""Daytime"",""Energy""}","{""Fresh Fruit"",""Yogurt"",""Light Breakfast""}",true
Negroni,Lapo's,RTD Mocktail,Negroni,Negroni,"Non-alcoholic negroni with gentian root, bitter orange, and rhubarb. Lightly sparkling with cinnamon and hibiscus notes.",,https://drinklapos.com/,,"{""Wide (US)""}",5,9,5,5,9,6,7,"{""Gentian"",""Bitter Orange"",""Rhubarb"",""Hibiscus"",""Spice""}","{""Aperitivo Hour"",""Happy Hour""}","{""Cheese Board"",""Olives"",""Antipasto""}",true
Spritz,Lapo's,Sparkling,Spritz,Spritz,"Non-alcoholic citrus spritz with lemon, lime, and orange. Juniper and thyme add herbal complexity to this bright aperitivo.",,https://drinklapos.com/,,"{""Wide (US)""}",5,5,9,3,5,9,6,"{""Lemon"",""Lime"",""Orange"",""Juniper"",""Thyme""}","{""Aperitivo Hour"",""Brunch"",""Summer""}","{""Seafood"",""Light Salads"",""Citrus Desserts""}",true
Aperitivo,Lapo's,Aperitif,Bitter Aperitif,Aperitif,"Campari-style non-alcoholic aperitivo with cinnamon, clove, and rhubarb. Mix with soda for a light pre-meal sip.",,https://drinklapos.com/,,"{""Wide (US)""}",5,10,3,5,9,2,6,"{""Cinnamon"",""Clove"",""Rhubarb"",""Herbal"",""Bitter""}","{""Aperitivo Hour"",""Dinner Party""}","{""Bruschetta"",""Olives"",""Aged Cheese""}",true
Canned Cocktail,Lapo's,RTD Mocktail,Canned Cocktail,Canned Cocktail,Pomegranate moscow mule with ginger and lime. Tart and spicy non-alcoholic twist on the classic mule.,,https://drinklapos.com/,,"{""Wide (US)""}",5,3,9,3,5,6,5,"{""Pomegranate"",""Ginger"",""Lime"",""Spice"",""Tart""}","{""Fall"",""Winter"",""Happy Hour""}","{""Roasted Meats"",""Spicy Dishes"",""Dark Chocolate""}",true
Espresso Cocktail,Lapo's,RTD Mocktail,Espresso Cocktail,Coffee Cocktail,"Rich non-alcoholic espresso martini with coffee, vanilla, and cinnamon. Velvety texture for after-dinner sipping.",,https://drinklapos.com/,,"{""Wide (US)""}",9,3,3,8,5,6,6,"{""Espresso"",""Vanilla"",""Cinnamon"",""Cocoa"",""Creamy""}","{""After Dinner"",""Nightcap"",""Dessert""}","{""Dark Chocolate"",""Tiramisu"",""Biscotti""}",true
Amaro Falso,Lapo's,Aperitif,Bitter Aperitif,Aperitif,"Northern Italian-style non-alcoholic amaro with licorice, cinnamon, and orange blossom. Complex digestivo for after dinner.",,https://drinklapos.com/,,"{""Wide (US)""}",5,10,3,5,10,2,6,"{""Licorice"",""Cinnamon"",""Orange Blossom"",""Pine"",""Herbal""}","{""After Dinner"",""Digestivo""}","{""Dark Chocolate"",""Aged Cheese"",""Roasted Nuts""}",true
RTD Mocktail,Mingle Mocktails,RTD Mocktail,RTD Mocktail,RTD Mocktail,Cranberry cosmo mocktail with tart cranberry and citrus. Low-calorie zero-proof alternative for cocktail hour.,,https://www.minglemocktails.com/,,"{""Wide (US)""}",5,3,9,3,3,6,5,"{""Cranberry"",""Lime"",""Orange"",""Citrus"",""Tart""}","{""Girls Night"",""Party"",""Holidays""}","{""Cheese Plate"",""Dark Chocolate"",""Fruit""}",true
Espresso Cocktail,NITRO Mocktails,RTD Mocktail,Espresso Cocktail,Coffee Cocktail,Nitro-activated non-alcoholic espresso martini with cold brew and vanilla. Silky cascading foam from nitrogen widget.,,https://www.mocktails.com/products/espresso-martini-nitro-mocktail,,"{""Wide (US)""}",9,3,3,8,5,6,6,"{""Espresso"",""Vanilla"",""Cocoa"",""Coffee"",""Creamy""}","{""After Dinner"",""Nightcap"",""Dessert""}","{""Dark Chocolate"",""Tiramisu"",""Coffee Desserts""}",true
Margarita,NITRO Mocktails,RTD Mocktail,Margarita,Margarita,Nitro non-alcoholic mockarita with lime and agave. Creamy nitrogen-infused texture with zero carbonation for smooth sipping.,,https://www.mocktails.com/products/mockarita-mocktail,,"{""Wide (US)""}",5,3,9,8,5,6,6,"{""Lime"",""Agave"",""Citrus"",""Sea Salt"",""Creamy""}","{""Taco Night"",""Happy Hour"",""Party""}","{""Tacos"",""Guacamole"",""Mexican Food""}",true
Canned Cocktail,NITRO Mocktails,RTD Mocktail,Canned Cocktail,Canned Cocktail,Nitro mockapolitan with cranberry and citrus. Nitrogen widget creates silky cocktail texture without carbonation or alcohol.,,https://www.mocktails.com/,,"{""Wide (US)""}",5,3,5,8,5,6,5,"{""Cranberry"",""Orange"",""Citrus"",""Tart"",""Floral""}","{""Girls Night"",""Party"",""Celebration""}","{""Cheese Plate"",""Light Desserts"",""Fruit""}",true
